社名,電話番号,所在地,代表者,事業内容,企業URL,URL,取得日時
空想街カフェ空飛ぶ魚,,東京都武蔵野市吉祥寺本町2-34-9,,飲食業,https://www.instagram.com/kuusoogaicafe/,https://baitona-joshi.jp/shop/000029/,2025/08/04/10:14
株式会社佐々木常夫マネージメント・リサーチ,03-6450-5143,東京都渋谷区広尾5-9-9プレステージュ広尾202,佐々木美邦子,エステサロンの経営,https://www.lavita-healing.jp/,https://baitona-joshi.jp/shop/000030/,2025/08/04/10:14
株式会社RISH,,,,美容業,,https://baitona-joshi.jp/shop/000031/,2025/08/04/10:14
株式会社ABS,03-6455-2667,,,エステサロン事業,,https://baitona-joshi.jp/shop/000032/,2025/08/04/10:14
株式会社RUBY,03-6277-5140,東京都港区麻布十番1-4-5深尾ビル6F,藤井勝久,ネイルサロン・美容室の経営、飲食店・レストランの経営,http://www.ruby-inc.jp/,https://baitona-joshi.jp/shop/000033/,2025/08/04/10:14
株式会社Amber,03-6421-0809,,,ネイルサロン事業,,https://baitona-joshi.jp/shop/000034/,2025/08/04/10:14
NailSalonRoseo,03-6416-0359,東京都渋谷区道玄坂2-25-10小田原屋ビル5F,,ネイルサロン,,https://baitona-joshi.jp/shop/000035/,2025/08/04/10:14
ロクシタンジャポン株式会社,03-5428-1563,東京都千代田区麹町1-6-4住友不動産半蔵門駅前ビル10階,アンドレジェイホフマン,リテール事業、eコマース事業、ホールセール事業、カフェ事業,https://jp.loccitane.com/,https://baitona-joshi.jp/shop/000036/,2025/08/04/10:14
株式会社ワイエスインターナショナル,03-6712-5077,東京都目黒区目黒1-24-12オリックス目黒ビル,横嶋祥久,レストラン経営及びフランチャイズ展開、不動産仲介業,https://www.ys-int.com/,https://baitona-joshi.jp/shop/000037/,2025/08/04/10:14
スタイル・ディベロップ株式会社,,東京都渋谷区南平台町16-17渋谷ガーデンタワー9階,平野浩二,カフェおよびレストラン事業の企画・運営、同フランチャイズ事業、商品開発、BOOK＆CAFE型新規業態開発,https://styledevelop.info/top/,https://baitona-joshi.jp/shop/000038/,2025/08/04/10:14
株式会社エル・ディー・アンド・ケイ,03-6416-9087,東京都渋谷区宇田川町18-4LD&Kビル３F,大谷秀政,音楽プロダクション業務、飲食店運営業務,https://ldandk.com/,https://baitona-joshi.jp/shop/000039/,2025/08/04/10:14
美創株式会社,03-6915-2199,東京都豊島区東池袋1－45－11メゾン金子ビル101,,ネイルサロン事業,,https://baitona-joshi.jp/shop/000040/,2025/08/04/10:14
B&H株式会社,03-5904-9004,,,エステサロン業務,,https://baitona-joshi.jp/shop/000041/,2025/08/04/10:14
モルレーヴ,,東京都豊島区池袋2-40-13ＶＯＲＴ池袋Ｉ３Ｆ,,美容業,http://eyelash.jp/,https://baitona-joshi.jp/shop/000042/,2025/08/04/10:14
A.J株式会社,03-4363-6298,東京都豊島区池袋2−４１−2大野屋ビル２F,,美容業,,https://baitona-joshi.jp/shop/000043/,2025/08/04/10:14
株式会社StayFactory,03-6912-5115,大阪府大阪市浪速区日本橋4丁目2番15号,吉田弘志,国内外における宿泊業、飲食業、美容業、通訳、ならびに各コンサルティング業務,https://www.stayfactory.jp/,https://baitona-joshi.jp/shop/000044/,2025/08/04/10:14
株式会社ココロオドル,03-5927-9748,東京都新宿区西新宿7丁目16番6号森正ビル地下1階,,ダイニング事業、古着事業,https://www.kokoroodoru2019.com/,https://baitona-joshi.jp/shop/000045/,2025/08/04/10:14
株式会社銀座ルノアール,03-3986-8555,東京都中野区中央4丁目60番3号銀座ルノアールビル,猪狩安往,飲食店の経営食料品の製造・加工及び販売フランチャイズチェーン店の経営及び技術指導,https://www.ginza-renoir.co.jp/,https://baitona-joshi.jp/shop/000046/,2025/08/04/10:14
キャピタル株式会社,03-5951-0620,東京都文京区本駒込6－1－9,栗田鏡子,コーヒー・紅茶・ケーキ等の製造・販売、その他輸入食品の卸し・販売、不動産事業,https://www.capital-coffee.co.jp/,https://baitona-joshi.jp/shop/000047/,2025/08/04/10:14
株式会社アルビオン,03-6384-7337,東京都中央区京橋1-12-2,小林章一,高級化粧品の製造・販売,https://rashisa.albion.co.jp/,https://baitona-joshi.jp/shop/000048/,2025/08/04/10:14
株式会社ケイスタイル,03-6907-1773,大阪市中央区久太郎町1-4-8NTPR堺筋本町ビル1F,梶田修平,アパレル（ファッション）小売業,https://k-style.net/,https://baitona-joshi.jp/shop/000049/,2025/08/04/10:14
株式会社CS,,埼玉県草加市氷川町2152クレドール草加102,逸見貞治,美容業,https://cs-sa.jp/,https://baitona-joshi.jp/shop/000050/,2025/08/04/10:14
株式会社シーズ・ラボ,,東京都渋谷区広尾1-1-39,川村真樹,エステティックサロンの運営,https://www.ci-z.com/,https://baitona-joshi.jp/shop/000051/,2025/08/04/10:14
株式会社リビアス,0422-23-1076,大阪府大阪市淀川区西中島1-11-34新大阪サンアールビル7号館2階,大西昌宏,理容・美容・エステサロン・アイラッシュサロン・ネイルサロンの経営・経営サポート・フランチャイズビジネス・人材紹介業,https://www.ribias.net/,https://baitona-joshi.jp/shop/000052/,2025/08/04/10:14
株式会社さくら屋,0422-24-8310,東京都多摩市関戸２－３４－３,櫻井哲也,美容室・ネイルサロン・アイラッシュサロン・化粧品販売店の運営,https://saitane.com/,https://baitona-joshi.jp/shop/000053/,2025/08/04/10:14
株式会社ウィング,0422-20-5003,東京都港区台場2-3-1トレードピアお台場16階,青木美紀,アロマテラピー店、リラクゼーションサロンの運営、管理及び経営,https://winginc.co.jp/,https://baitona-joshi.jp/shop/000054/,2025/08/04/10:14
株式会社エスエルディー,0422-27-2243,東京都港区芝4-1-23三田ＮＮビル（受付：18F）,有村譲,飲食サービス、コンテンツ企画サービス,https://www.sld-inc.com/,https://baitona-joshi.jp/shop/000055/,2025/08/04/10:14
フークル株式会社,0422-26-6378,東京都西新橋1－6－13柏屋ビル８F,河﨑孝文,海外にある飲食店舗の国内誘致及びフランチャイズ化,http://pancake-house.jp/,https://baitona-joshi.jp/shop/000056/,2025/08/04/10:14
株式会社SuageJapan,0422-27-2317,東京都渋谷区渋谷3-19-1渋谷オミビル4F,服部峻介,スープカレーショップ「Suage」の運営,https://suage.info/,https://baitona-joshi.jp/shop/000057/,2025/08/04/10:14
株式会社スロイ,0422-27-6829,東京都大田区北千束1-4-20,大西亮介,ハンドメイド指輪ブランド「CRAFY」の運営、ハンドメイドアクセサリー「glänta」の運営、ジュエリーブランド「hyf.」の運営,http://www.sroi.jp/,https://baitona-joshi.jp/shop/000058/,2025/08/04/10:14
株式会社ハニーズホールディングス,0422-27-2947,福島県いわき市鹿島町走熊字七本松27番地の1,江尻義久,グループ会社の経営管理、婦人衣料および服飾雑貨の企画ならびに卸売業等,https://www.honeys.co.jp/,https://baitona-joshi.jp/shop/000059/,2025/08/04/10:14
株式会社ラヴィリス,,,,美容業,,https://baitona-joshi.jp/shop/000060/,2025/08/04/10:14
株式会社アメリカ屋,03-3831-2531,東京都台東区上野6-10-3,八ッ塚尚吾,衣料品及び関連商品の販売,http://www.americaya.co.jp/,https://baitona-joshi.jp/shop/000061/,2025/08/04/10:14
株式会社グローバルエージェンツ,,東京都渋谷区東1-29-3,山﨑剛,隣人交流型賃貸住宅「ソーシャルアパートメント」の開発・運営、ライフスタイルホテルの開発・運営,https://www.global-agents.co.jp/,https://baitona-joshi.jp/shop/000062/,2025/08/04/10:14
株式会社プロピア,,東京都新宿区西新宿7-4-3,黒宮彰浩,毛髪商品の開発・製造及び販売,https://propia.co.jp/,https://baitona-joshi.jp/shop/000063/,2025/08/04/10:14
ＬＵＳＨＥＬＡ(ルシェラ)上野マルイ店,03-3839-6388,東京都台東区上野6-15-1上野マルイ店1Ｆ,,服飾雑貨SHOP,,https://baitona-joshi.jp/shop/000064/,2025/08/04/10:14
株式会社RYコーポレーション,03-5826-3571,東京都品川区東品川2-2-20天王洲オーシャンスクエア21F,横山藤雄,飲食店経営飲食店プロデュース小売販売業ウェディング事業EC事業,https://www.ry-corporation.com/,https://baitona-joshi.jp/shop/000065/,2025/08/04/10:14
株式会社Ashanti,03-6284-4770,東京都渋谷区千駄ヶ谷5-15-5DSビル904号室,梅村崇貴,美容室経営、美容商材販売、美容師教育、美容室コンサルティング,https://ashanti-hair.com/,https://baitona-joshi.jp/shop/000066/,2025/08/04/10:14
株式会社ジェイ・ビー,03-5817-8788,大阪府大阪市北区梅田2丁目4-9ブリーゼタワー13F,光岡利久,婦人靴、衣料、バッグ等の企画、小売,https://jb-corp.co.jp/,https://baitona-joshi.jp/shop/000067/,2025/08/04/10:14
株式会社ニュートン,,東京都新宿区歌舞伎町2丁目4-10KDX東新宿ビル7F,荻野勝朗,総合レジャーサービス,https://www.newton-co.jp/,https://baitona-joshi.jp/shop/000068/,2025/08/04/10:14
株式会社ノンストレス,03-5826-5770,東京都渋谷区広尾1-3-1萩原ビル16階,坂野尚子,美容・健康産業,https://www.nailquick.co.jp/,https://baitona-joshi.jp/shop/000069/,2025/08/04/10:14
有限会社ドゥ・セリエ,03-5323-2377,,,美容業,,https://baitona-joshi.jp/shop/000070/,2025/08/04/10:14
ウィッツ株式会社,03-6380-1070,京都府京都市中京区天神山町280番地石勘ビル2F,橋本康恒,ゴルフウェア・ゴルフグッズの製造販売,https://store.witz1999.com/,https://baitona-joshi.jp/shop/000071/,2025/08/04/10:14
イナバ商事株式会社,03-3344-3008,,,喫茶店運営,https://cafeterrasse-silhouette.com/,https://baitona-joshi.jp/shop/000072/,2025/08/04/10:14
株式会社D.TLabel,03-5937-2202,東京都渋谷区恵比寿4丁目4番15号,沢巳大介,美容室店舗展開・サロンプロデュース・人材育成,https://www.d-tlabel1988.com/,https://baitona-joshi.jp/shop/000073/,2025/08/04/10:14
株式会社uf.(ウフ),03-5321-5036,東京都港区三田2-7-7芳和三田綱坂ビル3階,瀬川岳則,レディスシューズおよびファッショングッズの小売・卸売業,https://launalea.com/,https://baitona-joshi.jp/shop/000074/,2025/08/04/10:14
KEY’SCAFEビックカメラ新宿東口店,03-3226-1111,東京都新宿区新宿3-29-1株式会社ビックカメラ新宿東口店,,飲食業,,https://baitona-joshi.jp/shop/000075/,2025/08/04/10:14
株式会社粋,03-6302-0730,東京都中央区銀座3-4-6正隆銀座ビル3Ｆ,島﨑祐介,美容室の経営,https://iki-arts.jp/,https://baitona-joshi.jp/shop/000076/,2025/08/04/10:14
株式会社マーレマーレ・ジャパン,03-6380-6025,兵庫県神戸市長田区西尻池町2-4-6,東裕司,オリジナルシューズ等の販売,https://www.maremare-store.com/,https://baitona-joshi.jp/shop/000077/,2025/08/04/10:14
アールケー株式会社,03-5321-7050,東京都新宿区西新宿6-6-2ヒルトン東京B1F,門田亜希子,コーヒーショップの経営、コーヒー/チョコレート商品の輸出入、卸売り業務。,https://www.riecoffee.com/,https://baitona-joshi.jp/shop/000078/,2025/08/04/10:14
株式会社コンヴァノ,03-5362-0950,東京都渋谷区桜丘町22番14号N.E.S.ビルS棟B3F,上四元絢,ネイルサービスチェーンの経営、フランチャイズ管理事業、各種商品企画開発および販売,https://convano.com/,https://baitona-joshi.jp/shop/000079/,2025/08/04/10:14
株式会社アイス,048-643-7004,東京都北区赤羽西1-38-18アドレシア206,山口敏之,美容店の経営,https://iceiceice.jp/,https://baitona-joshi.jp/shop/000080/,2025/08/04/10:14
ユニオントレーディング株式会社,048-644-1360,埼玉県さいたま市大宮区桜木町4-252,牧野茂正,アパレル（メンズ、レディース、雑貨）の企画・生産・輸入、専門店・代理店への卸売、直営店の小売、不動産賃貸,https://www.union-trd.com/index.html,https://baitona-joshi.jp/shop/000081/,2025/08/04/10:14
JR九州ファーストフーズ株式会社,048-782-6222,福岡市博多区博多駅東1丁目10番7号JR九州博多駅東ビル3階,香川美津子,飲食店業飲食料品小売業、食料・飲料卸売業、前各号に付帯関連する一切の事業,https://www.jrff.co.jp/,https://baitona-joshi.jp/shop/000082/,2025/08/04/10:14
株式会社ハンサム,048-783-2486,,,美容室の経営,https://www.cover-s.jp/,https://baitona-joshi.jp/shop/000083/,2025/08/04/10:14
株式会社ゲオホールディングス,048-658-2800,愛知県名古屋市中区富士見町8番8号OMCビル,遠藤結蔵,グループ会社の経営企画・管理ならびに子会社の管理業務受託,https://www.geonet.co.jp/,https://baitona-joshi.jp/shop/000084/,2025/08/04/10:14
カフェ・カンパニー株式会社,048-648-3060,東京都渋谷区神宮前5-27-8LosGatos2F/3F,楠本修二郎,飲食店舗の企画運営事業、地域コミュニティ事業、海外店舗企画運営事業,https://www.cafecompany.co.jp/,https://baitona-joshi.jp/shop/000085/,2025/08/04/10:14
VANILLA,048-782-4118,,,美容業,https://www.h-a-vanilla.com/,https://baitona-joshi.jp/shop/000086/,2025/08/04/10:14
株式会社Queen,048-788-1107,和歌山県海南市九品寺269番地3,芝篤,服飾雑貨の企画、製造、販売,http://queen.co.jp/,https://baitona-joshi.jp/shop/000087/,2025/08/04/10:14
PHPARISJAPON株式会社（ペーアッシュパリジャポン株式会社）,048-871-9177,東京都港区北青山3-10-18北青山本田ビル2F,RICHARDLEDU(リシャールルデュ),洋菓子の製造・販売業・喫茶経営、デリバリーサービス、ライセンス事業,https://www.pierreherme.co.jp/,https://baitona-joshi.jp/shop/000088/,2025/08/04/10:14
株式会社Doluce,048-642-5502,埼玉県さいたま市大宮区高鼻町1-31-1TOPS大宮ビルB１F,,美容室の経営,https://doluce-omiya.com/,https://baitona-joshi.jp/shop/000089/,2025/08/04/10:14
Chill&Eye,043-441-4677,千葉県千葉市中央区富士見2-8-14エキニア千葉7F,,美容業,,https://baitona-joshi.jp/shop/000090/,2025/08/04/10:14
株式会社アダストリア,043-221-1150,東京都渋谷区渋谷2丁目21番1号渋谷ヒカリエ27F,木村治,衣料品・雑貨等の企画・製造・販売,https://www.adastria.co.jp/,https://baitona-joshi.jp/shop/000091/,2025/08/04/10:14
株式会社ラムラ,043-307-1156,東京都中央区日本橋大伝馬町10-8タキトミビル4F,村川明,総合フードサービス,https://www.ramla.net/,https://baitona-joshi.jp/shop/000092/,2025/08/04/10:14
GLAMAShairJenny,043-305-4997,千葉県千葉市中央区新千葉1-4-2ウェストリオ25F,,美容業,,https://baitona-joshi.jp/shop/000093/,2025/08/04/10:14
株式会社ダブルエー,043-441-5577,東京都渋谷区恵比寿1-20-187F,肖俊偉,婦人靴企画・販売、婦人服企画・販売,https://www.wa-jp.com/,https://baitona-joshi.jp/shop/000094/,2025/08/04/10:14
株式会社クリエイト・ダイニング,043-202-2111,東京都品川区東五反田5-10-18,原田尚彦,首都圏を中心に、鮨、日本料理、うどん・蕎麦などの和食から洋食、中華、エスニック、カフェ、バル等、幅広いジャンル・多様なブランドを展開,https://www.createrestaurants.com/business/group/create_dining/,https://baitona-joshi.jp/shop/000095/,2025/08/04/10:14
株式会社TENLIMITED,043-441-3511,千葉県船橋市本町5-13-2inted2F,天笠和勇,美容業,https://arena-pro.com/,https://baitona-joshi.jp/shop/000096/,2025/08/04/10:14
株式会社サザビーリーグ,043-301-4445,東京都渋谷区千駄ヶ谷2-11-1,角田良太,衣食住ブランドの企画、販売及び卸売等,https://www.sazaby-league.co.jp/,https://baitona-joshi.jp/shop/000097/,2025/08/04/10:14
株式会社銀座ルノアール,043-239-9980,東京都中野区中央4丁目60番3号銀座ルノアールビル,猪狩安往,飲食店の経営食料品の製造・加工及び販売フランチャイズチェーン店の経営及び技術指導,https://www.ginza-renoir.co.jp/,https://baitona-joshi.jp/shop/000098/,2025/08/04/10:14
株式会社LA・BO,043-227-7721,東京都千代田区岩本町1-14-5アクタス岩本町2F,松本仁,美容室の経営,http://www.ginza-labo.net/,https://baitona-joshi.jp/shop/000099/,2025/08/04/10:14
株式会社ブライアンズカンパニー,03-5833-3339,,,理容室の経営,,https://baitona-joshi.jp/shop/000100/,2025/08/04/10:14
株式会社Montresor,045-548-3370,東京都渋谷区広尾1-1-35,大熊建司,ジュエリーの輸入・販売小売業,https://shop.maxi-j.com/,https://baitona-joshi.jp/shop/000101/,2025/08/04/10:14
カフェ・カンパニー株式会社,,東京都渋谷区神宮前5-27-8LosGatos2F/3F,楠本修二郎,飲食店舗の企画運営事業、地域コミュニティ事業、海外店舗企画運営事業,https://www.cafecompany.co.jp/,https://baitona-joshi.jp/shop/000102/,2025/08/04/10:14
合同会社LORE,045-319-6788,神奈川県横浜市西区みなとみらい5-3-1フィルミー205,,美容室の経営,https://lore-minatomirai-yokohama.com/,https://baitona-joshi.jp/shop/000103/,2025/08/04/10:14
株式会社uf.(ウフ),045-465-2111,東京都港区三田2-7-7芳和三田綱坂ビル3階,瀬川岳則,レディスシューズおよびファッショングッズの小売・卸売業,https://launalea.com/,https://baitona-joshi.jp/shop/000104/,2025/08/04/10:14
株式会社フォーシーズ,045-450-7202,東京都港区南青山5-12-4全菓連ビル,淺野秀則,デリバリー事業、レストラン事業,https://www.four-seeds.co.jp/,https://baitona-joshi.jp/shop/000105/,2025/08/04/10:14
株式会社Atriainc.（株式会社アトリア）,045-620-8036,神奈川県川崎市川崎区駅前本町18-2金子ダイヤモンドビル7F,,美容室の経営,http://atria-beautygroup.com/index.html,https://baitona-joshi.jp/shop/000106/,2025/08/04/10:14
株式会社スミノ,045-453-6375,神奈川県横浜市中区元町5-205,角野吉則,婦人衣料品、紳士衣料品の企画・販売業,https://www.sumino.biz/index.html,https://baitona-joshi.jp/shop/000107/,2025/08/04/10:14
株式会社フェリシモ,045-620-0708,兵庫県神戸市中央区新港町7番1号,矢崎和彦,ダイレクトマーケティング事業,https://www.felissimo.co.jp/,https://baitona-joshi.jp/shop/000108/,2025/08/04/10:14
Mauloahairsalon,045-322-9222,神奈川県横浜市神奈川区鶴屋町2-19-4神谷ビル3階,,美容業,,https://baitona-joshi.jp/shop/000109/,2025/08/04/10:14
株式会社ing,03-4362-7157,神奈川県川崎市宮前区有馬1丁目1-4-1F,田代光,美容室、ネイルサロン、まつげサロンの企画・経営・コンサルティング,https://www.xxingxx.com/,https://baitona-joshi.jp/shop/000110/,2025/08/04/10:14
株式会社ジェットセット,03-5843-1464,東京都港区元麻布3-10-2,JuliaSpotswood福嶋,「シャンプーとブロードライ」に特化した全く新しいコンセプトの“ブロードライ・バー”型ヘアサロン運営,https://jetsetdrybar.com/,https://baitona-joshi.jp/shop/000111/,2025/08/04/10:14
yelo(イエロ),03-3423-2121,,,飲食業,https://yelo.jp/,https://baitona-joshi.jp/shop/000112/,2025/08/04/10:14
株式会社ポニーテール,03-3408-1613,,,美容室の経営,,https://baitona-joshi.jp/shop/000113/,2025/08/04/10:14
アールブルー六本木店(R-blue),03-6447-2411,,,美容業,http://r-blue.jp/,https://baitona-joshi.jp/shop/000114/,2025/08/04/10:14
WhiteStellaホワイトステラ,03-6910-5259,,,飲食業,https://whitestella.net/,https://baitona-joshi.jp/shop/000115/,2025/08/04/10:14
RINTERNATIONAL株式会社,03-6440-0080,東京都港区西麻布3-2-12,有坂留美,美容室経営,https://r-international.co/,https://baitona-joshi.jp/shop/000116/,2025/08/04/10:14
ユメミ六本木(yumemi),03-6824-5272,,,美容業,,https://baitona-joshi.jp/shop/000117/,2025/08/04/10:14
ユーシーシーフードサービスシステムズ株式会社,,兵庫県神戸市中央区港島中町7-7-7,川野浩司,飲食店および小売店の経営,https://www.ufs.co.jp/,https://baitona-joshi.jp/shop/000118/,2025/08/04/10:14
NOLASLIENNAIL&EYE麻布十番店,03-3586-2786,,,ネイルサロン事業,,https://baitona-joshi.jp/shop/000119/,2025/08/04/10:14
株式会社スヴェンソン,03-3569-1700,東京都港区赤坂1-12-32アーク森ビル17階,児玉圭司,男性向けかつらの製造・販売・理美容サービス、女性向けウィッグの製造・販売・理美容サービス、ヘアケア商品の販売,https://www.svenson.co.jp/,https://baitona-joshi.jp/shop/000120/,2025/08/04/10:14
ONS株式会社,,,,美容業,,https://baitona-joshi.jp/shop/000121/,2025/08/04/10:14
株式会社エスエルディー,03-3564-2531,東京都港区芝4-1-23三田ＮＮビル（受付：18F）,有村譲,飲食サービス、コンテンツ企画サービス,https://www.sld-inc.com/,https://baitona-joshi.jp/shop/000122/,2025/08/04/10:14
株式会社ルー・ウィン,03-3572-0080,東京都中央区銀座5-5-16銀座テーラービル３F,,美容室の経営,http://lewin.co.jp/,https://baitona-joshi.jp/shop/000123/,2025/08/04/10:14
ManonGinza,03-3528-6377,東京都中央区銀座3-8-15Apa銀座中央ビル５F-B,,エステサロン事業,https://beauty-body.jp/,https://baitona-joshi.jp/shop/000124/,2025/08/04/10:14
株式会社トランジットジェネラルオフィス,03-5524-1900,東京都渋谷区恵比寿4-20-4恵比寿ガーデンプレイスグラススクエアB1階,中村貞裕,クリエイティブプロダクション事業、飲食及びホテル等オペレーション事業、イベント事業、人材紹介事業、WEBプロモーション事業、NFT事業、D2C事業,https://www.transit-web.com/,https://baitona-joshi.jp/shop/000125/,2025/08/04/10:14
株式会社粋,03-5250-2801,東京都中央区銀座3-4-6正隆銀座ビル3Ｆ,島﨑祐介,美容室の経営,https://iki-arts.jp/,https://baitona-joshi.jp/shop/000126/,2025/08/04/10:14
株式会社Enjin,,東京都中央区銀座5-13-16ヒューリック銀座イーストビル8F,本田幸大,PR事業,https://www.y-enjin.co.jp/,https://baitona-joshi.jp/shop/000127/,2025/08/04/10:14
THEBLUE,03-6457-9980,東京都千代田区有楽町1-2-2日比谷シャンテ別館日比谷ゴジラスクエア,,飲食業,https://theblue.site/,https://baitona-joshi.jp/shop/000128/,2025/08/04/10:14
